No.,English,Spanish,IPA
112,to hunt,cazar,ka'_a_
113,to hit,golpear,_olpe'a_
114,to cut,cortar,ko_'ta_
115,to split,partir,pa_'ti_
116,to stab,apuñalar,apu_a'la_
117,to scratch,"arañar, rascar","a_a'_a_ , ras'ka_"
118,to dig,cavar,ka'_a_
119,to swim,nadar,na'_a_
120,to fly,volar,bo'la_
121,to walk,caminar,kami'na_
122,to come,venir,be'ni_
123,to lie (as in a bed),echarse (action),e't__a_se
124,to sit,sentarse (action),sen'ta_se
125,to stand,"levantarse (action), estar de pie (state)","le_an'ta_se , es'ta_ de pje"
126,to turn (intransitive),girar,xi'_a_
127,to fall,caer,ka'e_
128,to give,dar,da_
129,to hold,tener,te'ne_
130,to squeeze,apretar,ap_e'ta_
131,to rub,frotar,f_o'ta_
132,to wash,lavar,la'_a_
133,to wipe,limpiar,lim'pja_
134,to pull,"tirar de, jalar","ti'_a_ de, xa'la_"
135,to push,empujar,empu'xa_
136,to throw,tirar,ti'_a_
137,to tie,atar,a'ta_
138,to sew,coser,ko'se_
139,to count,contar,kon'ta_
140,to say,decir,de'_i_
141,to sing,cantar,kan'ta_
142,to play,jugar,xu'_a_
143,to float,flotar,flo'ta_
144,to flow,fluir,flu'i_
145,to freeze,helar,e'la_
146,to swell,hincharse,in't__a_se
147,sun,sol,sol
148,moon,luna,'luna
149,star,estrella,es't_e_a
150,water,agua,'a_wa
151,rain,lluvia,'_u_ja
152,river,río,'rio
153,lake,lago,'la_o
154,sea,mar,ma_
155,salt,sal,sal
156,stone,piedra,'pje__a
157,sand,arena,a'_ena
158,dust,polvo,'pol_o
159,earth,tierra,'tjera
160,cloud,nube,'nu_e
161,fog,niebla,'nje_la
162,sky,cielo,'_jelo
163,wind,viento,'bjento
164,snow,nieve,'nje_e
165,ice,hielo,'jelo
166,smoke,humo,'umo
167,fire,fuego,'fwe_o
168,ash,cenizas,_e'ni_as
169,to burn,quemar,ke'ma_
170,road,camino,ka'mino
171,mountain,montaña,mon'ta_a
172,red,rojo,'roxo
173,green,verde,'be__e
174,yellow,amarillo,ama'_i_o
175,white,blanco,'bla_ko
176,black,negro,'ne__o
177,night,noche,'not__e
178,day,día,'dia
179,year,año,'a_o
180,warm,cálido,'kali_o
181,cold,frío,'f_io
182,full,lleno,'_eno
183,new,nuevo,'nwe_o
184,old,viejo,'bjexo
185,good,bueno,'bweno
186,bad,malo,'malo
187,rotten,podrido,po_'_i_o
188,dirty,sucio,'su_jo
189,straight,recto,'rekto
190,round,redondo,re'_ondo
191,sharp (as a knife),"agudo, afilado","a'_u_o , afi'la_o"
192,dull (as a knife),"sin filo, embotado, romo","sin'filo , embo'ta_o , 'romo"
193,smooth,liso,l'iso
194,wet,mojado,mo'xa_o
195,dry,seco,'seko
196,correct,correcto,ko'rekto
197,near,cerca,'_e_ka
198,far,lejos,'lexos
199,right,derecha,de'_et__a
200,left,izquierda,i_'kje__a
201,at,"a, en","a, en"
202,in,en,en
203,with,con,kon
204,and,"y, e","i, e"
205,if,si,si
206,because,porque,'po_ke
207,name,nombre,'nomb_e
